XM_020544715.3	LOC103644366
XM_020544720.3	LOC103644366
XR_004849689.1	LOC100382519
NM_001175256.1	LOC100382519
XR_002265322.1	LOC103630116
XM_020544726.2	LOC103649349
XM_035962285.1	LOC103649349
XM_020544731.2	LOC103649349
XM_035962282.1	LOC103649349
XR_002266615.1	LOC109943579
XR_002265323.2	LOC109942621
XR_004852474.1	LOC109942621
XR_004852475.1	LOC109942621
XR_554886.3	LOC103630159
NM_001370917.1	LOC115032971
XM_035960746.1	LOC115032971
XM_035960750.1	LOC115032971
XM_035960751.1	LOC115032971
XM_035960749.1	LOC115032971
XR_554912.3	LOC103630195
XR_554919.2	LOC103630195
XR_554911.2	LOC103630195
XR_554913.4	LOC103630195
XM_035962276.1	LOC103630223
XM_023301380.1	LOC103630233
XM_020547081.3	LOC103630261
XM_020547071.1	LOC109943573
XR_002266616.2	LOC103630281
XM_035962280.1	LOC118473254
NR_148681.1	LOC100277468
XM_035962296.1	LOC118473255
XM_020544837.3	LOC103630305
XM_020547083.1	LOC109943581
NM_001152639.1	LOC100279648
XR_004856548.1	LOC100276289
XM_035965589.1	LOC100276289
NM_001150113.1	LOC100276289
NM_001349993.1	LOC100280608
NM_001350000.1	LOC100278565
XR_554994.2	LOC103630338
NM_001362173.1	LOC100383860
XM_008651419.3	LOC103630355
XM_020547107.3	LOC100216975
NM_001143355.1	LOC100216975
NM_001245917.1	LOC100193420
XM_008678970.4	LOC100283177
XM_035967355.1	LOC100283177
NM_001156079.1	LOC100283177
XR_004852489.1	LOC118473256
XR_004852483.1	LOC103630366
XR_002265382.2	LOC103630366
XR_002265387.2	LOC103630366
XR_555005.3	LOC103630366
XR_004852485.1	LOC103630366
XR_002265384.2	LOC103630366
XR_002265383.2	LOC103630366
XR_002265392.2	LOC103630366
XR_004852487.1	LOC103630366
XR_004852486.1	LOC103630366
XR_004852484.1	LOC103630366
XR_004852488.1	LOC103630366
XR_002265388.2	LOC103630366
XR_002265390.2	LOC103630366
XR_002265389.2	LOC103630366
XR_002265386.2	LOC103630366
XM_008651512.2	LOC103630457
NM_001152841.1	LOC100279889
XM_035959643.1	LOC100383837
NM_001362461.1	LOC100383837
XM_020547084.1	LOC103630473
XM_008651534.4	LOC103630483
XR_555090.2	LOC103630490
NM_001305813.1	LOC541908
XM_008651564.2	LOC103630501
NM_001174451.1	LOC100381635
NM_001156219.1	LOC100283317
XR_004855780.1	LOC111590740
XR_004855782.1	LOC111590742
XM_035962388.1	LOC118473257
XR_002265402.1	LOC103630526
XR_555111.2	LOC103630526
NM_001322805.1	LOC107546763
NM_001158721.2	LOC100285831
XM_008651591.4	LOC103630535
XM_008671846.3	LOC100191673
NM_001137102.1	LOC100191673
XM_035964949.1	LOC100273658
NM_001348079.1	LOC100273658
XM_008651600.4	LOC103630546
XM_008671628.2	LOC100275685
NM_001371721.1	LOC100275685
XM_008651608.3	LOC103630556
XM_020539643.2	LOC103630556
XM_020539648.3	LOC103630556
XM_020539651.2	LOC103630556
XM_035960244.1	LOC103630556
XM_035960248.1	LOC103630556
XM_023300361.2	LOC103630556
NM_001319720.1	LOC103630556
XM_008651620.2	LOC103630570
XR_564678.4	LOC100281615
XR_004857555.1	LOC100281615
XM_035966844.1	LOC100281615
XM_008676939.4	LOC100281615
XM_008676934.3	LOC100281615
XM_008676929.4	LOC100281615
